puntnummer;project_id;project_titel;projectdatum;hoogte;orde;publiek
000A4073;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;3,01840000000000;1;N
000A4073;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;3,00630000000000;1;N
000A4073;366=00=NAP;SEC herziening 366w00hsec rivieren westB 2000;2000-02-04T00:00:00Z;3,00630000000000;2;N
000A4073;366W00-SEC;Secundaire waterpassing Rivieren west deel B 2000;2000-02-04T00:00:00Z;3,01840000000000;2;N
000A4073;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;3,00630000000000;1;N
000A4073;384=04;SEC Zuid-Holland (RWS + NAM) en Zeeland 2008;2008-09-02T00:00:00Z;3,00630000000000;2;N
000A4074;251W38;NULPAAL MILLINGEN;1984-03-28T00:00:00Z;12,29770000000000;1;N
000A4074;256G08;MALDEN NIEUWMIL;1984-11-01T00:00:00Z;12,29770000000000;1;N
000A4074;256G09;VELP-ELTEN-MILLINGEN;1985-03-15T00:00:00Z;12,29770000000000;1;N
000A4074;PSB59P66;VERIFIKATIE 1986;1986-04-15T00:00:00Z;12,29770000000000;1;N
000A4074;329=00=NAP;SEC herziening 329w00 rivieren oost 1991;1991-10-29T00:00:00Z;12,29200000000000;2;N
000A4074;329W00;RIV. OOST 1991;1991-11-15T00:00:00Z;12,29020000000000;2;N
000A4074;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;12,29020000000000;1;N
000A4074;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;12,29200000000000;1;N
000A4074;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;12,29200000000000;1;J
000A4074;377=00=NAP;SEC herziening 377w00-sec rivieren oost 2002;2002-09-29T00:00:00Z;12,29200000000000;2;N
000A4074;377W00-SEC;rivieren oost 2002 (20300)(20298);2002-09-29T00:00:00Z;12,29020000000000;7;N
000A4074;384=13;SEC Brabant Limburg noord en Gelderland zuid 2011;2011-05-23T00:00:00Z;12,29200000000000;2;N
000A4076;251W37;VOORL.AANSL.NULPAAL;1984-03-23T00:00:00Z;6,86430000000000;2;N
000A4076;317W00;SEC WP ZUID-HOLLAND;1989-11-01T00:00:00Z;6,86490000000000;2;N
000A4076;317=00=NAP;SEC herziening 317w00  zuid holland 1989;1989-11-12T00:00:00Z;6,84250000000000;2;N
000A4076;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;6,86490000000000;1;N
000A4076;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;6,84250000000000;1;N
