# generated with r-analyse/gtsm/add-gtsm.R
# contains gtsm surge output per year
"...1","t","name","ddl_id","surge"
"201",380,2004-01-01,"Harlingen","HARLGN",0.0845727817136612
"202",387,2005-01-01,"Harlingen","HARLGN",0.0591315631273973
"203",394,2006-01-01,"Harlingen","HARLGN",0.0701642734712329
"204",401,2007-01-01,"Harlingen","HARLGN",0.0961477748
"205",408,2008-01-01,"Harlingen","HARLGN",0.0930473999672131
"206",415,2009-01-01,"Harlingen","HARLGN",0.0548408275328767
"207",422,2010-01-01,"Harlingen","HARLGN",0.0226051565780822
"208",429,2011-01-01,"Harlingen","HARLGN",0.085006623569863
"209",436,2012-01-01,"Harlingen","HARLGN",0.0678793514726776
"210",443,2013-01-01,"Harlingen","HARLGN",0.0308031835808219
"211",450,2014-01-01,"Harlingen","HARLGN",0.0639068957063836
"212",457,2015-01-01,"Harlingen","HARLGN",0.102843154249315
"213",464,2016-01-01,"Harlingen","HARLGN",0.0421190598275956
"214",471,2017-01-01,"Harlingen","HARLGN",0.0925725081643836
"215",478,2018-01-01,"Harlingen","HARLGN",0.0150655028712329
"216",485,2019-01-01,"Harlingen","HARLGN",0.0767395046
"217",492,2020-01-01,"Harlingen","HARLGN",0.0840809016612022
"218",499,2021-01-01,"Harlingen","HARLGN",0.0480431034136986
"219",506,2022-01-01,"Harlingen","HARLGN",0.059535905490438
"220",3,1950-01-01,"Hoek van Holland","HOEKVHLD",0.105429112834677
"221",10,1951-01-01,"Hoek van Holland","HOEKVHLD",0.0399557505007068
"222",17,1952-01-01,"Hoek van Holland","HOEKVHLD",0.050111152217698
"223",24,1953-01-01,"Hoek van Holland","HOEKVHLD",0.00698301529460778
"224",31,1954-01-01,"Hoek van Holland","HOEKVHLD",0.0565567902927223
"225",38,1955-01-01,"Hoek van Holland","HOEKVHLD",0.0472634423390184
"226",45,1956-01-01,"Hoek van Holland","HOEKVHLD",0.0246700304643063
"227",52,1957-01-01,"Hoek van Holland","HOEKVHLD",0.036317894781289
"228",59,1958-01-01,"Hoek van Holland","HOEKVHLD",0.0458017094494545
