year;psmsl_id;name;height;surge;source;method;surge_anomaly;station
1929;22;Hoek van Holland;-140;NA;psmsl;NA;0;Hoek van Holland
1930;22;Hoek van Holland;-67;NA;psmsl;NA;0;Hoek van Holland
1931;22;Hoek van Holland;-73;NA;psmsl;NA;0;Hoek van Holland
1932;22;Hoek van Holland;-90;NA;psmsl;NA;0;Hoek van Holland
1933;22;Hoek van Holland;-146;NA;psmsl;NA;0;Hoek van Holland
1934;22;Hoek van Holland;-138;NA;psmsl;NA;0;Hoek van Holland
1935;22;Hoek van Holland;-78;NA;psmsl;NA;0;Hoek van Holland
1936;22;Hoek van Holland;-49;NA;psmsl;NA;0;Hoek van Holland
1937;22;Hoek van Holland;-55;NA;psmsl;NA;0;Hoek van Holland
1938;22;Hoek van Holland;-81;NA;psmsl;NA;0;Hoek van Holland
1939;22;Hoek van Holland;-73;NA;psmsl;NA;0;Hoek van Holland
1940;22;Hoek van Holland;-69;NA;psmsl;NA;0;Hoek van Holland
1941;22;Hoek van Holland;-105;NA;psmsl;NA;0;Hoek van Holland
1942;22;Hoek van Holland;-105;NA;psmsl;NA;0;Hoek van Holland
1943;22;Hoek van Holland;-59;NA;psmsl;NA;0;Hoek van Holland
1944;22;Hoek van Holland;-44;NA;psmsl;NA;0;Hoek van Holland
1945;22;Hoek van Holland;-57;NA;psmsl;NA;0;Hoek van Holland
1946;22;Hoek van Holland;-52;NA;psmsl;NA;0;Hoek van Holland
1947;22;Hoek van Holland;-101;NA;psmsl;NA;0;Hoek van Holland
1948;22;Hoek van Holland;-42;NA;psmsl;NA;0;Hoek van Holland
1949;22;Hoek van Holland;-54;NA;psmsl;NA;0;Hoek van Holland
1950;22;Hoek van Holland;-45;0.055;psmsl;NA;18.05263157894737;Hoek van Holland
1951;22;Hoek van Holland;-56;0.04;psmsl;NA;3.05263157894737;Hoek van Holland
1952;22;Hoek van Holland;-45;0.05;psmsl;NA;13.05263157894737;Hoek van Holland
1953;22;Hoek van Holland;-74;0.008;psmsl;NA;-28.94736842105263;Hoek van Holland
1954;22;Hoek van Holland;-25;0.055;psmsl;NA;18.05263157894737;Hoek van Holland
1955;22;Hoek van Holland;-21;0.047;psmsl;NA;10.05263157894737;Hoek van Holland
1956;22;Hoek van Holland;-83;0.024;psmsl;NA;-12.94736842105263;Hoek van Holland
1957;22;Hoek van Holland;-38;0.037;psmsl;NA;0.05263157894736992;Hoek van Holland
1958;22;Hoek van Holland;-38;0.046;psmsl;NA;9.05263157894737;Hoek van Holland
1959;22;Hoek van Holland;-131;-0.002;psmsl;NA;-38.94736842105263;Hoek van Holland
1960;22;Hoek van Holland;-80;0.039;psmsl;NA;2.05263157894737;Hoek van Holland
1961;22;Hoek van Holland;4;0.057;psmsl;NA;20.05263157894737;Hoek van Holland
1962;22;Hoek van Holland;-55;0.042;psmsl;NA;5.05263157894737;Hoek van Holland
1963;22;Hoek van Holland;-120;0.013;psmsl;NA;-23.94736842105263;Hoek van Holland
1964;22;Hoek van Holland;-107;0.008;psmsl;NA;-28.94736842105263;Hoek van Holland
1965;22;Hoek van Holland;-3;0.064;psmsl;NA;27.05263157894737;Hoek van Holland
1966;22;Hoek van Holland;27;0.06;psmsl;NA;23.05263157894737;Hoek van Holland
1967;22;Hoek van Holland;31;0.074;psmsl;NA;37.05263157894737;Hoek van Holland
1968;22;Hoek van Holland;-21;0.033;psmsl;NA;-3.94736842105263;Hoek van Holland
1969;22;Hoek van Holland;-37;0.026;psmsl;NA;-10.94736842105263;Hoek van Holland
1970;22;Hoek van Holland;-18;0.055;psmsl;NA;18.05263157894737;Hoek van Holland
1971;22;Hoek van Holland;-53;0.018;psmsl;NA;-18.94736842105263;Hoek van Holland
1972;22;Hoek van Holland;-80;-0.001;psmsl;NA;-37.94736842105263;Hoek van Holland
1973;22;Hoek van Holland;4;0.052;psmsl;NA;15.05263157894737;Hoek van Holland
1974;22;Hoek van Holland;8;0.073;psmsl;NA;36.05263157894737;Hoek van Holland
1975;22;Hoek van Holland;-18;0.019;psmsl;NA;-17.94736842105263;Hoek van Holland
1976;22;Hoek van Holland;-44;0.009;psmsl;NA;-27.94736842105263;Hoek van Holland
1977;22;Hoek van Holland;-3;0.058;psmsl;NA;21.05263157894737;Hoek van Holland
1978;22;Hoek van Holland;-13;0.04;psmsl;NA;3.05263157894737;Hoek van Holland
1979;22;Hoek van Holland;14;0.036;psmsl;NA;-0.9473684210526301;Hoek van Holland
1980;22;Hoek van Holland;24;0.03;psmsl;NA;-6.94736842105263;Hoek van Holland
1981;22;Hoek van Holland;72;0.059;psmsl;NA;22.05263157894737;Hoek van Holland
1982;22;Hoek van Holland;53;0.03;psmsl;NA;-6.94736842105263;Hoek van Holland
1983;22;Hoek van Holland;72;0.063;psmsl;NA;26.05263157894737;Hoek van Holland
1984;22;Hoek van Holland;25;0.026;psmsl;NA;-10.94736842105263;Hoek van Holland
1985;22;Hoek van Holland;20;0.027;psmsl;NA;-9.94736842105263;Hoek van Holland
1986;22;Hoek van Holland;28;0.032;psmsl;NA;-4.94736842105263;Hoek van Holland
1987;22;Hoek van Holland;28;0.011;psmsl;NA;-25.94736842105263;Hoek van Holland
1988;22;Hoek van Holland;87;0.061;psmsl;NA;24.05263157894737;Hoek van Holland
1989;22;Hoek van Holland;53;0.04;psmsl;NA;3.05263157894737;Hoek van Holland
